Motion Profile: Recording - 531 2018.04.91
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity

0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,0.0
0.0,-0.4398826979472141,,0.0,0.0,,0.0,0.0
0.44086021505376344,-0.4398826979472141,,0.0,0.0,,0.0,0.0
0.44086021505376344,-0.4398826979472141,,2.785E-5,-3.0635E-4,,0.0,-0.27260491863452835
0.44086021505376344,-0.4398826979472141,,0.0012810999999999999,-0.0013925,,0.29093758161399846,-0.2647338403041825
0.44086021505376344,-0.4398826979472141,,0.00242295,-0.0023394,,0.23818687192644858,-0.22973809032790268
0.44086021505376344,-0.4398826979472141,,0.0034533999999999997,-0.00303565,,0.18828699399983098,-0.07747948254277369
0.44086021505376344,-0.4398826979472141,,0.00364835,-0.0033698499999999998,,0.13452481584349715,-0.06553904986027358
0.44086021505376344,-0.4398826979472141,,0.00370405,-0.00348125,,0.008565343421062748,-0.010966239928335524
0.44086021505376344,-0.5268817204301075,,0.00375975,-0.00375975,,0.006753643572519824,-0.08338947526012426
0.5268817204301075,-0.5268817204301075,,0.0037876,-0.0039547,,0.013470619176889544,-0.09436679373146972
0.5268817204301075,-0.5268817204301075,,0.0038989999999999997,-0.0045952499999999995,,0.017520957518755605,-0.09655052868781418
0.5268817204301075,-0.5268817204301075,,0.004456,-0.005013,,0.10104766656084176,-0.08467619337184555
0.5268817204301075,-0.5268817204301075,,0.00492945,-0.0054028999999999995,,0.09257104869536315,-0.0767931616861407
0.5268817204301075,-0.5268817204301075,,0.0051801,-0.0056814,,0.09398464523749261,-0.10206605891245592
0.5268817204301075,-0.5268817204301075,,0.0057371,-0.00626625,,0.09130399147610851,-0.10320548452844173
0.5268817204301075,-0.5268817204301075,,0.00660045,-0.0070182,,0.1087890625,-0.07283187865712137
0.5268817204301075,-0.5268817204301075,,0.00671185,-0.0071017499999999996,,0.10864582825376701,-0.0754793685209025
0.7947214076246334,-0.7947214076246334,,0.0074081,-0.007797999999999999,,0.15206115206115206,-0.148030031227161
0.7947214076246334,-0.7947214076246334,,0.00827145,-0.00866135,,0.16550289704352994,-0.16501259072729965
0.7947214076246334,-0.7947214076246334,,0.00960825,-0.009998149999999999,,0.17032336977295315,-0.16404064202621116
0.7947214076246334,-0.7947214076246334,,0.00988675,-0.010248799999999999,,0.17515723270440253,-0.15813755412023564
