Motion Profile: Recording - 4425 2018.03.83,,,,,,,,,
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity,,
0,-0.600195503,,0.0448385,2.79E-05,,0.212311797,0,,
0,-0.600195503,,0.0465652,2.79E-05,,0.121988611,0,,
0,-0.600195503,,0.0470108,0,,0.145973924,0,,
0,-0.600195503,,0.04770705,2.79E-05,,0.161180641,0,,
0,-0.600195503,,0.0485147,0,,0.194127385,0,,
0,-0.600195503,,0.04993505,0,,0.234328986,0,,
0,-0.600195503,,0.05054775,2.79E-05,,0.226169932,0,,
0,-0.644183773,,0.05149465,2.79E-05,,0.226124023,0,,
0,-0.644183773,,0.0526922,2.79E-05,,0.205648883,0,,
0,-0.644183773,,0.0546417,0,,0.224032177,0,,
0,-0.644183773,,0.05533795,2.79E-05,,0.217556879,0,,
0,-0.644183773,,0.057371,0,,0.212615708,0,,
0,-0.644183773,,0.05784445,2.79E-05,,0.210347432,0,,
-0.134897361,-0.644183773,,0.05856855,0,,0.198893055,0,,
-0.134897361,-0.644183773,,0.05945975,0,,0.182219678,0,,
-0.134897361,-0.684261975,,0.06029525,2.79E-05,,0.162675234,0,,
-0.134897361,-0.684261975,,0.06163205,2.79E-05,,0.155412946,0,,
-0.134897361,-0.684261975,,0.0626068,2.79E-05,,0.17031035,0,,
-0.134897361,-0.684261975,,0.06319165,2.79E-05,,0.166791436,0,,
-0.134897361,-0.684261975,,0.0638322,2.79E-05,,0.163992345,0,,
-0.15542522,-0.684261975,,0.06519685,2.79E-05,,0.154411255,0,,
-0.15542522,-0.684261975,,0.06536395,2.79E-05,,0.160831589,0,,
-0.15542522,-0.704789834,,0.06603235,0,,0.148890671,0,,
-0.15542522,-0.704789834,,0.06675645,2.79E-05,,0.137948115,0,,
-0.15542522,-0.704789834,,0.06814895,2.79E-05,,0.140020111,0,,
-0.15542522,-0.704789834,,0.0683439,0,,0.135038487,0,,
-0.15542522,-0.704789834,,0.0692351,0,,0.131282777,0,,
-0.15542522,-0.704789834,,0.06965285,0,,0.130789551,0,,
-0.319648094,-0.704789834,,0.07048835,2.79E-05,,0.120569295,0,,
-0.319648094,-0.704789834,,0.0710175,2.79E-05,,0.072117563,0,,
-0.319648094,-0.8514174,,0.0711846,0,,0.056656071,0,,
-0.319648094,-0.8514174,,0.07137955,0,,0.046119771,0,,
-0.319648094,-0.8514174,,0.0721315,2.79E-05,,0.077546901,0,,
-0.319648094,-0.8514174,,0.07238215,2.79E-05,,0.086406826,0,,
-0.319648094,-0.8514174,,0.07282775,0,,0.066024596,0,,
-0.319648094,-0.8514174,,0.07299485,2.79E-05,,0.050191485,0,,
-0.319648094,-0.8514174,,0.07316195,0,,0.029518926,0,,
-0.319648094,-0.8514174,,0.07321765,2.79E-05,,0.020871194,0,,
-0.34115347,-0.854349951,,0.07327335,2.79E-05,,0.015772111,0,,
-0.34115347,-0.854349951,,0.0733569,2.79E-05,,0.011030358,0,,
-0.34115347,-0.854349951,,0.0733569,0,,0.011030358,0,,
-0.34115347,-0.854349951,,0.0733569,0,,0.011030358,0,,
-0.34115347,-0.854349951,,0.0733569,0,,0.011030358,0,,
-0.34115347,-0.854349951,,0.0733569,0,,0.011030358,0,,
-0.34115347,-0.854349951,,0.0733569,0,,0.011030358,0,,
-0.328445748,-0.842619746,,0.0733569,0,,0.011030358,0,,
-0.328445748,-0.842619746,,0.07332905,0,,0.011030358,0,,
-0.328445748,-0.842619746,,0.07332905,0,,0.011030358,0,,
-0.328445748,-0.842619746,,0.07332905,0,,0.011030358,0,,
-0.328445748,-0.842619746,,0.07332905,0,,0.011030358,0,,
-0.337243402,-0.842619746,,0.07332905,2.79E-05,,0.011030358,0,,
-0.337243402,-0.842619746,,0.0733012,0,,7.29E-04,0,,
-0.337243402,-0.833822092,,0.07327335,2.79E-05,,0,0,,
-0.337243402,-0.833822092,,0.07316195,0,,-0.010314767,0,,
-0.337243402,-0.833822092,,0.07299485,0,,-0.022582836,0,,
-0.337243402,-0.833822092,,0.0728556,0,,-0.030244618,0,,
-0.337243402,-0.833822092,,0.07282775,0,,-0.033710585,0,,
